HouseStyle,TotalSF,SalePrice
1.5Fin,2972,172500
1Story,4450,501837
1Story,1936,100000
2Story,2281,177000
2Story,2595,200100
1Story,1340,120000
1.5Fin,3444,200000
1.5Fin,1756,127000
2.5Fin,4143,475000
SLvl,2405,173000
1.5Fin,2172,135000
SFoyer,2310,153337
1Story,3186,286000
2Story,3580,315000
2Story,2204,184000
1Story,2862,192000
2Story,2679,130000
1Story,1728,127000
2Story,2311,148500
1Story,3452,311872
2Story,4080,235000
2.5Fin,2613,104000
1Story,3426,274900
1Story,2242,140000
1Story,2475,171500
1.5Fin,1927,112000
1Story,1696,149000
1.5Fin,2004,110000
1Story,2866,180500
1Story,2836,143900
1Story,2200,141000
2Story,3219,277000
1Story,2184,145000
1Story,1728,98000
1Story,2424,186000
2Story,2752,252678
1Story,1980,156000
2Story,2081,161750
1Story,2306,134450
1Story,2872,210000
2Story,2014,107000
1.5Fin,2752,311500
1Story,2496,167240
1Story,2996,204900
2Story,3277,200000
2Story,2265,179900
1Story,1728,97000
1Story,4784,386250
2Story,1932,112000
2Story,3723,290000
2Story,1470,106000
1Story,1824,125000
1Story,2928,192500
1Story,2388,148000
2Story,4256,403000
2Story,1470,94500
1Story,1788,128200
2Story,2820,216500
2Story,1470,89500
1Story,2828,185500
2Story,2740,194500
1Story,3388,318000
1.5Fin,2222,113000
1Story,3132,262500
1Story,1552,110500
1.5Fin,1980,79000
2Story,1843,120000
2Story,3058,205000
1Story,3717,241500
2Story,2948,137000
1Story,2742,140000
2Story,2508,180000
1.5Fin,3588,277000
1Story,2034,76500
1Story,3198,235000
2Story,2438,173000
SLvl,2604,158000
1Story,2628,145000
2Story,3266,230000
2Story,2592,207500
1Story,3208,220000
2Story,2755,231500
1Story,882,97000
SLvl,2744,176000
2Story,4056,276000
SLvl,1718,151000
1.5Fin,1852,130000
1Story,1444,73000
1Story,2844,175500
2Story,2313,185000
2.5Fin,2492,179500
1Story,1518,120500
1Story,2256,148000
2Story,3034,266000
1Story,2748,241500
2Story,3422,290000
1Story,2872,139000
1Story,1632,124500
1.5Fin,2500,205000
1Story,3120,201000
1Story,1728,141000
1Story,4242,415298
2Story,3182,192000
2Story,2789,228500
1Story,2524,185000
1Story,2628,207500
1Story,2936,244600
1Story,3150,179200
2Story,1875,164700
1.5Fin,2646,159000
1Story,1716,88000
1Story,1782,122000
2Story,2094,153575
2Story,2998,233230
2Story,2496,135900
1.5Fin,2484,131000
2Story,3058,235000
1Story,3060,167000
SLvl,2006,142500
1.5Fin,2468,152000
2Story,2925,239000
2Story,2445,175000
1Story,2244,158500
1Story,2501,157000
2Story,3480,267000
1Story,3082,205000
1Story,1788,149900
2.5Fin,4963,295000
1Story,4000,305900
2Story,2943,225000
1.5Fin,1725,89500
1Story,1722,82500
1Story,3840,360000
2Story,2198,165600
1Story,1944,132000
1.5Fin,1911,119900
1Story,4172,375000
2Story,2369,178000
2Story,2148,188500
2Story,3198,260000
2Story,3047,270000
2Story,3993,260000
SLvl,2844,187500
2Story,3845,342643
2Story,3604,354000
2Story,4232,301000
1Story,2325,126175
SLvl,3688,242000
1.5Unf,1523,87000
1Story,3438,324000
1Story,2766,145250
2.5Unf,2978,214500
2Story,1788,78000
1Story,3456,119000
1Story,2112,139000
1Story,4835,284000
1Story,2716,207000
2Story,2581,192000
1.5Fin,3285,228950
1Story,3844,377426
1Story,3072,214000
1Story,2829,202500
1Story,2430,155000
2Story,2875,202900
1Story,1562,82000
1Story,1040,87500
1Story,3368,266000
2Story,1648,85000
1.5Fin,2549,140200
1Story,1916,151500
1Story,2956,157500
2Story,2390,154000
2Story,4576,437154
1Story,3738,318061
1Story,2906,190000
1.5Fin,1727,95000
1Story,1344,105900
1.5Fin,2535,140000
1Story,2400,177500
1Story,2325,173000
1Story,2284,134000
SLvl,2414,130000
2Story,3010,280000
SFoyer,1800,156000
1.5Fin,2388,145000
SFoyer,1922,198500
2Story,1470,118000
2Story,2370,190000
2Story,2016,147000
1Story,2788,159000
SLvl,2530,165000
1Story,2536,132000
1Story,2350,162000
2Story,2617,172400
1.5Fin,1588,134432
1Story,1496,125000
1Story,1927,123000
2Story,2775,219500
1Story,1587,61000
SFoyer,1784,148000
2Story,4046,340000
1Story,3712,394432
2Story,2782,179000
1.5Fin,2717,127000
1Story,2594,187750
2Story,2736,213500
1.5Unf,1568,76000
2Story,3533,240000
1Story,2525,192000
1.5Fin,1842,81000
SLvl,2166,125000
1Story,2947,191000
2Story,4014,426000
1.5Fin,2228,119000
2Story,2765,215000
1Story,882,106500
1Story,1576,100000
1.5Fin,1769,109000
1Story,2288,129000
1Story,1788,123000
2Story,2676,169500
1Story,2038,67000
2Story,2642,241000
1Story,2548,245500
1Story,2620,164990
1Story,1344,108000
2Story,3404,258000
2Story,2378,168000
1Story,2901,150000
1.5Fin,2230,115000
2Story,2520,177000
2Story,3235,280000
2Story,3112,339750
1Story,2552,60000
1Story,2112,145000
1Story,2948,222000
1Story,2036,115000
2Story,3177,228000
1Story,2680,181134
2Story,2072,149500
2Story,3994,239000
1.5Fin,1890,126000
1Story,2112,142000
SFoyer,2688,206300
1Story,3204,215000
1Story,1976,113000
2Story,4100,315000
1Story,2392,139000
2Story,2040,135000
SLvl,3162,275000
1Story,1814,109008
1Story,2416,195400
1Story,2804,175000
2Story,1470,85400
1.5Fin,2099,79900
2Story,2130,122500
2Story,2530,181000
SFoyer,1260,81000
2Story,2460,212000
1.5Fin,1766,116000
1.5Unf,1788,119000
1Story,1134,90350
1.5Fin,1880,110000
1Story,5496,555000
1Story,2880,118000
1.5Fin,2651,162900
1Story,2516,172500
2Story,2823,210000
1Story,3125,127500
1Story,3405,190000
2Story,2816,199900
1.5Fin,2156,119500
1.5Fin,1832,120000
1Story,1626,110000
1Story,3066,280000
2Story,2628,204000
2Story,2358,210000
1Story,3456,188000
1Story,2484,175500
2Story,1968,98000
1Story,3027,256000
2Story,2254,161000
1.5Fin,1912,110000
2Story,2767,263435
2Story,1695,155000
1Story,1728,62383
2Story,2375,188700
1Story,2080,124000
1Story,2789,178740
1Story,2554,167000
2Story,2372,146500
1Story,3260,250000
2Story,2542,187000
1Story,2990,212000
2Story,2777,190000
SLvl,1619,148000
1Story,3952,440000
1Story,3146,251000
1Story,1940,132500
1Story,2971,208900
2Story,4796,380000
1Story,3423,297000
1Story,2038,89471
1Story,3683,326000
1Story,3584,374000
2Story,2736,155000
1Story,2432,164000
1Story,1998,132500
1Story,2226,147000
1Story,2146,156000
1Story,2968,175000
1.5Fin,3368,160000
SFoyer,1260,86000
2Story,1568,115000
1.5Fin,2384,133000
2Story,2184,172785
1Story,2538,155000
1Story,1076,91300
1Story,1440,34900
1Story,6428,430000
1.5Fin,2846,184000
1Story,1763,130000
1Story,1824,120000
2Story,1890,113000
2Story,2634,226700
1Story,2428,140000
1Story,3302,289000
2Story,2177,147000
2Story,2920,124500
2Story,2688,215000
1Story,2436,208300
2Story,2067,161000
1Story,2082,124500
1Story,2371,164900
1Story,2736,202665
1Story,1728,129900
1Story,2164,134000
1.5Unf,1557,96500
1Story,4026,402861
SLvl,2808,158000
2Story,3608,265000
2Story,2590,211000
2Story,3356,234000
2Story,1294,106250
1Story,2488,150000
1.5Fin,2668,159000
2Story,7814,184750
2Story,3777,315750
1Story,2523,176000
1Story,1856,132000
2Story,4165,446261
1Story,1133,86000
1Story,4550,200624
SLvl,2970,175000
2Story,1973,128000
1Story,827,107500
1Story,334,39300
2Story,2121,178000
2Story,2464,107500
2Story,2604,188000
1Story,1728,111250
1Story,2210,158000
1Story,3182,272000
1Story,3676,315000
2Story,3254,248000
1Story,3330,213250
SFoyer,1490,133000
2Story,2150,179665
1.5Fin,3387,229000
1.5Fin,2700,210000
SFoyer,1536,129500
1Story,1650,125000
2Story,3006,263000
1Story,2138,140000
1Story,1856,112500
1Story,3426,255500
1Story,1126,108000
2Story,3044,284000
1.5Unf,2041,113000
1Story,2184,141000
1.5Fin,1973,108000
2Story,2175,175000
1Story,2931,234000
1Story,2784,121500
1Story,2778,170000
1Story,1992,108000
1.5Fin,2837,185000
2Story,3390,268000
2Story,2453,128000
2Story,3626,325000
1Story,3052,214000
1.5Fin,3628,316600
SFoyer,1886,135960
1Story,3456,142600
1Story,1728,120000
2Story,2538,224500
SLvl,1814,170000
SLvl,1481,139000
1.5Fin,2048,118500
1.5Fin,2338,145000
SLvl,2484,164500
2Story,2081,146000
1.5Fin,2845,131500
1Story,2573,181900
1Story,4084,253293
SFoyer,1632,118500
2.5Unf,4012,325000
1.5Fin,2457,133000
1Story,3896,369900
1Story,1654,130000
SFoyer,1700,137000
1Story,2910,143000
1Story,1521,79500
2Story,2352,185900
2Story,4018,451950
1Story,1632,138000
1Story,1696,140000
1Story,1848,110000
1Story,3640,319000
2Story,2052,114504
1Story,2660,194201
1Story,3077,217500
2Story,2272,151000
2Story,2962,275000
1.5Fin,2155,141000
2Story,2823,220000
2Story,1800,151000
1Story,2988,221000
2Story,2754,205000
1Story,2080,152000
2Story,2904,225000
2Story,4159,359100
1Story,2058,118500
2Story,3593,313000
SLvl,2064,148000
2Story,3171,261500
1Story,2240,147000
SFoyer,1260,75500
SFoyer,1990,137500
2Story,2292,183200
1.5Unf,1664,105500
1Story,3650,314813
2Story,3744,305000
1Story,1728,67000
2Story,4136,240000
1Story,1960,135000
2Story,2268,168500
2Story,2522,165150
1Story,2232,160000
1Story,2400,139900
SLvl,2676,153000
2Story,3120,135000
SLvl,2598,168500
2Story,2386,124000
1Story,3108,209500
1Story,2797,82500
1Story,2112,139400
SFoyer,2112,144000
2.5Fin,4320,200000
1Story,1064,60000
1.5Fin,2198,93000
1Story,1592,85000
1Story,3087,264561
1Story,3036,274000
2Story,2986,226000
SLvl,4656,345000
2Story,2400,152000
1Story,3532,370878
1Story,1962,143250
1Story,1048,98300
1Story,2188,155000
2Story,2595,155000
SFoyer,1260,84500
2Story,2478,205950
2Story,2265,108000
2Story,2596,191000
1.5Fin,2225,135000
1Story,4222,350000
2Story,1617,88000
1Story,2106,145500
2Story,2278,149000
1.5Fin,2370,97500
1Story,2972,167000
2Story,2728,197900
2Story,4077,402000
1Story,2784,110000
SFoyer,2319,137500
1Story,4174,423000
2Story,3342,230500
2Story,3401,129000
1Story,3087,193500
1Story,2625,168000
1Story,1880,137500
2Story,2214,173500
2Story,2041,103600
1Story,2416,165000
1Story,3316,257500
1Story,2272,140000
2Story,2296,148500
2Story,2869,87000
1Story,1560,109500
1Story,4092,372500
1Story,1976,128500
1Story,1846,143000
1.5Fin,2313,159434
1Story,2582,173000
1Story,3294,285000
2Story,3034,221000
2Story,3280,207500
2Story,2635,227875
2Story,1653,148800
1Story,2838,392000
1Story,2724,194700
1Story,1696,141000
2Story,6760,755000
2Story,3729,335000
1Story,2146,108480
1.5Fin,2466,141500
1Story,2249,176000
1Story,1232,89000
1Story,2128,123500
1Story,1788,138500
1Story,2782,196000
1Story,3600,312500
1Story,2328,140000
2Story,3810,361919
2Story,2172,140000
1Story,2957,213000
2Story,1092,55000
1Story,3467,302000
1Story,2648,254000
2Story,2184,179540
1Story,1780,109900
1Story,999,52000
1.5Fin,2037,102776
1Story,2456,189000
1Story,1920,129000
2Story,2204,130500
1Story,2414,165000
2Story,3272,159500
1Story,2354,157000
2Story,3729,341000
1Story,1942,128500
1Story,3484,275000
1Story,1696,143000
1Story,1728,124500
1.5Fin,2411,135000
1Story,3396,320000
1Story,1728,120500
1Story,2560,222000
1Story,2464,194500
1Story,3360,110000
1.5Fin,1628,103000
1Story,3211,236500
SLvl,2014,187500
2Story,3184,222500
1Story,2008,131400
1Story,1896,108000
2.5Unf,2648,163000
1Story,1040,93500
2Story,2694,239900
1Story,2400,179000
2Story,2592,190000
2Story,1696,132000
1Story,1824,142000
1Story,2698,179000
SLvl,1984,175000
1Story,2674,180000
2Story,3857,299800
2Story,3208,236000
2Story,3880,265979
1Story,3440,260400
1.5Fin,1529,98000
1.5Fin,1716,96500
2Story,1980,162000
1Story,2973,217000
2Story,3128,275500
1Story,2052,156000
2Story,2200,172500
2Story,2634,212000
2Story,2058,158900
2Story,2245,179400
2Story,3849,290000
1Story,1728,127500
1Story,2446,100000
2Story,2303,215200
2Story,3617,337000
1Story,2988,270000
1Story,3004,264132
2Story,2694,196500
1.5Fin,2733,160000
1Story,3696,216837
2Story,4929,538000
SFoyer,1716,134900
1Story,2056,102000
SLvl,2146,107000
1Story,1824,114500
1Story,3908,395000
1Story,2408,162000
1Story,3228,221500
1Story,1758,142500
1Story,2020,144000
SFoyer,1979,135000
1Story,2490,176000
2Story,2364,175900
1Story,2843,187100
SFoyer,2207,165500
2.5Unf,2226,128000
1Story,2714,161500
1.5Fin,2338,139000
2Story,3040,233000
1Story,1802,107900
2Story,2919,187500
1Story,2290,160200
SLvl,2091,146800
2Story,3130,269790
1Story,2992,225000
2Story,2607,194500
2Story,2214,171000
1Story,1945,143500
1Story,1546,110000
2Story,5066,485000
1.5Fin,2499,175000
2Story,2304,200000
1Story,2392,109900
2Story,2184,189000
2Story,4556,582933
1Story,2064,118000
1Story,2845,227680
SLvl,1960,135500
2Story,2900,223500
SLvl,2110,159950
2.5Unf,2987,106000
1Story,2349,181000
1Story,1696,144500
1Story,1584,55993
1Story,2884,157900
1.5Fin,1936,116000
1Story,3310,224900
1Story,2016,137000
1Story,3257,271000
SLvl,2062,155000
1Story,2716,224000
2Story,2438,183000
1Story,1872,93000
2Story,2580,225000
1.5Fin,2267,139500
1Story,2978,232600
1Story,4162,385000
1.5Unf,1568,109500
1Story,2888,189000
2Story,3139,185000
2Story,1743,147400
1Story,2784,166000
2Story,1720,151000
2Story,2770,237000
1Story,3032,167000
1Story,2288,139950
1Story,2134,128000
1Story,3118,153500
2Story,1470,100000
1Story,2198,144000
1.5Fin,1968,130500
2Story,2154,140000
2Story,2189,157500
SLvl,2292,174900
1Story,3600,141000
1.5Fin,2292,153900
SFoyer,3091,171000
2Story,2515,213000
1Story,1728,133500
1.5Fin,3265,240000
SLvl,2383,187000
1Story,1696,131500
1Story,2729,215000
2.5Unf,2564,164000
SLvl,2572,158000
1Story,3542,170000
1Story,2080,127000
SLvl,1966,147000
2Story,2183,174000
1Story,2460,152000
2Story,3708,250000
1.5Fin,2338,189950
1Story,2078,131500
1Story,2137,152000
1Story,2296,132500
1Story,2744,250580
1Story,2004,148500
1Story,3284,248900
1Story,2160,129000
2Story,2267,169000
2Story,2999,236000
1Story,1788,109500
2Story,2486,200500
1Story,1015,116000
1Story,1868,133000
1.5Fin,1807,66500
2Story,3794,303477
1Story,2104,132250
2Story,3686,350000
SFoyer,2264,148000
1Story,1728,136500
1Story,2180,157000
1.5Fin,2873,187500
2Story,2401,178000
2.5Fin,2544,118500
1Story,1784,100000
1Story,3407,328900
1Story,3338,145000
1.5Fin,2209,135500
1Story,4434,268000
1Story,3010,149500
1.5Fin,1596,122900
2Story,2601,172500
1Story,2127,154500
1Story,2766,165000
1Story,1535,118858
2Story,2576,140000
1Story,1902,106500
2Story,2240,142953
1Story,4694,611657
1Story,2148,135000
1Story,1716,110000
1Story,2298,153000
2Story,2292,180000
1Story,3340,240000
1Story,1778,125500
1Story,2119,128000
1Story,3259,255000
1.5Fin,3074,250000
1Story,1766,131000
2Story,2226,174000
2Story,3379,154300
1Story,2536,143500
1Story,1783,88000
2Story,3003,145000
2Story,1836,173733
2Story,1638,75000
1Story,960,35311
1Story,2363,135000
2Story,3231,238000
1Story,2598,176500
2Story,2649,201000
1.5Fin,3472,145900
1Story,2632,169990
1Story,3221,193000
1Story,3372,207500
1Story,2252,175000
2Story,3555,285000
2Story,2810,176000
1Story,3541,236500
2Story,3200,222000
1Story,2932,201000
1Story,1850,117500
1Story,3810,320000
1Story,3000,190000
1Story,2654,242000
1Story,1347,79900
1Story,2376,184900
2Story,3084,253000
2Story,3353,239799
2Story,3435,244400
1Story,3456,150900
2Story,3052,214000
1Story,2880,150000
1Story,3264,143000
SLvl,2163,137500
1.5Fin,2837,124900
SLvl,2288,143000
1Story,3245,270000
2Story,2712,192500
1Story,2542,197500
1Story,1728,129000
1Story,1793,119900
SFoyer,1536,133900
2Story,2752,172000
SFoyer,1925,127500
2Story,2937,145000
2Story,1790,124000
1Story,2114,132000
1Story,2674,185000
2Story,2112,155000
1Story,1716,116500
2Story,4202,272000
2Story,2352,155000
1Story,3600,239000
2Story,2711,214900
2Story,2267,178900
1.5Fin,2036,160000
1Story,2196,135000
1.5Fin,1568,37900
SLvl,1683,140000
1.5Fin,1912,135000
2Story,2390,173000
1Story,1836,99500
1Story,2856,182000
2Story,2747,167500
2Story,2055,165000
1Story,1309,85500
1Story,2482,199900
1Story,1788,110000
1Story,2242,139000
SFoyer,1943,178400
2Story,3837,336000
1Story,2532,159895
2Story,3418,255900
1.5Fin,1734,126000
1Story,2328,125000
1.5Fin,2120,117000
1Story,3870,395192
2Story,2878,195000
2Story,2346,197000
2Story,3788,348000
2Story,2658,168000
2Story,2673,187000
2Story,2250,173900
1Story,3418,337500
1.5Fin,1977,121600
1Story,2100,136500
1Story,2884,185000
1Story,2084,91000
1Story,2395,206000
1Story,944,82000
1Story,1382,86000
1Story,3148,232000
1Story,3360,136905
1Story,2850,181000
SLvl,1970,149900
1Story,3314,163500
2Story,1638,88000
1Story,3420,240000
1.5Fin,2016,102000
1.5Fin,1991,135000
1Story,1664,100000
2Story,2104,165000
1Story,2044,85000
1Story,2164,119200
2Story,2475,227000
1Story,3008,203000
1Story,2580,187500
SLvl,1856,160000
1Story,2868,213490
1Story,2264,176000
1Story,2419,194000
1.5Fin,2160,87000
1Story,2850,191000
1Story,4463,287000
1Story,1764,112500
1Story,2532,167500
1Story,3284,293077
1.5Fin,2144,105000
2Story,1890,118000
2Story,2614,160000
2.5Fin,3509,197000
2Story,3858,310000
1Story,3308,230000
1Story,1874,119750
1Story,845,84000
1Story,3240,315500
2Story,3318,287000
2Story,1890,97000
SFoyer,1260,80000
1Story,2937,155000
2Story,2432,173000
1Story,2612,196000
2Story,3804,262280
1Story,5048,278000
1Story,1733,139600
2Story,4860,556581
1Story,1980,145000
1Story,1771,115000
1Story,930,84900
1Story,2604,176485
1Story,2632,200141
2Story,2793,165000
1Story,2742,144500
2Story,3054,255000
1Story,2716,180000
1Story,2728,185850
2Story,2823,248000
2Story,3288,335000
1.5Fin,2845,220000
1Story,2676,213500
1Story,1788,81000
2Story,2999,90000
1Story,2206,110500
1Story,2308,154000
2Story,3566,328000
2Story,2370,178000
2Story,2391,167900
2Story,3463,151400
1.5Unf,1738,135000
1Story,2096,135000
2Story,2283,154000
1.5Fin,2266,91500
2Story,2116,159500
1Story,2480,194000
2Story,2540,219500
1.5Fin,2262,170000
1Story,2192,138800
1Story,1696,155900
1Story,1980,126000
1Story,2516,145000
1Story,2080,133000
1Story,2918,192000
1Story,2502,160000
2Story,2189,187500
SFoyer,1932,147000
2Story,1638,83500
2Story,3035,252000
2Story,2679,137500
1Story,2494,197000
1Story,1040,92900
2Story,1852,160000
1.5Fin,2875,136500
1Story,2064,146000
1Story,1872,129000
1Story,2628,176432
2Story,2039,127000
1Story,2162,170000
1.5Fin,1996,128000
1Story,2872,157000
1Story,728,60000
1Story,1900,119500
1Story,2144,135000
1Story,1849,159500
2Story,1932,106000
2Story,4085,325000
1Story,2352,179900
2Story,2889,274725
2Story,2614,181000
1Story,3672,280000
2Story,2431,188000
2Story,2767,205000
1Story,1632,129900
1Story,2016,134500
1Story,1666,117000
1Story,3468,318000
SLvl,1827,184100
1Story,1788,130000
SLvl,2134,140000
1Story,2080,133700
1Story,2024,118400
1Story,3104,212900
1Story,1632,112000
1Story,1396,118000
SLvl,1866,163900
1Story,2010,115000
1Story,2928,174000
1Story,3060,259000
2Story,2806,215000
SFoyer,1872,140000
1.5Fin,3103,135000
1Story,1948,93500
2Story,3218,117500
2Story,3148,239500
2Story,2516,169000
1Story,1946,102000
1.5Fin,2284,119000
1.5Fin,1800,94000
1Story,3134,196000
1Story,2082,144000
1Story,1904,139000
2Story,2648,197500
2Story,4294,424870
1Story,2012,80000
1.5Fin,1596,80000
1.5Fin,2618,149000
1Story,2596,180000
2Story,2268,174500
1.5Fin,1683,116900
2Story,2132,143000
1Story,1864,124000
1Story,2932,149900
1Story,2884,230000
1Story,1632,120500
2Story,2684,201800
1Story,2874,218000
SLvl,2484,179900
1Story,2628,230000
1Story,3160,235128
2Story,2777,185000
2Story,2311,146000
1Story,2936,224000
1Story,1788,129000
SFoyer,2456,108959
SLvl,2792,194000
1Story,3004,233170
1Story,3388,245350
2Story,2630,173000
2Story,3235,235000
2Story,5557,625000
SLvl,2214,171000
1Story,2522,163000
2Story,1875,171900
1.5Fin,4205,200500
2Story,3297,239000
1.5Fin,4555,285000
1Story,1799,119500
1.5Fin,2042,115000
1.5Fin,2074,154900
1Story,1124,93000
2Story,3730,250000
1Story,3252,392500
2Story,6872,745000
1Story,2250,120000
1Story,3144,186700
1.5Fin,2005,104900
2Story,2677,95000
1Story,3248,262000
2Story,2491,195000
2Story,2798,189000
1Story,2871,168000
2Story,2217,174000
1.5Fin,2174,125000
1Story,2448,165000
2Story,2015,158000
2Story,2184,176000
2Story,2742,219210
2.5Unf,2505,144000
1Story,2424,178000
1Story,2433,148000
1Story,1728,116050
2Story,2645,197900
1.5Fin,2232,117000
1Story,3260,213000
1Story,2130,153500
1Story,4354,271900
1Story,2112,107000
1Story,3382,200000
1Story,2214,140000
1Story,3320,290000
2Story,2900,189000
1.5Fin,2311,164000
1Story,1344,113000
SLvl,1608,145000
SFoyer,1924,134500
1Story,1788,125000
1.5Fin,1902,112000
1Story,2614,229456
1.5Fin,912,80500
2Story,1890,91500
1Story,1824,115000
1Story,2163,134000
1.5Fin,2886,143000
1Story,4272,137900
2Story,2278,184000
SLvl,1726,145000
2Story,2827,214000
1Story,1824,147000
1Story,3404,367294
SLvl,2582,127000
1.5Fin,3981,190000
SLvl,2296,132500
1Story,1224,101800
1Story,2376,142000
2Story,2904,130000
2Story,2531,138887
2Story,2390,175500
2Story,2795,195000
1Story,2282,142500
1Story,2960,265900
2Story,2652,224900
1Story,3378,248328
SFoyer,2226,170000
1Story,4152,465000
2Story,2309,230000
SLvl,2453,178000
2Story,2309,186500
SLvl,2046,169900
2.5Unf,2793,129500
1Story,1864,119000
1Story,4220,244000
1Story,2810,171750
1Story,1738,130000
2Story,3359,294000
2Story,2402,165400
1.5Fin,2251,127500
1Story,3973,301500
1Story,1728,99900
SLvl,2022,190000
1Story,2108,151000
2Story,2516,181000
1Story,2100,128900
1.5Fin,2892,161500
2Story,2588,180500
1Story,2742,181000
2Story,2143,183900
2.5Unf,2814,122000
1Story,4020,378500
1.5Fin,4175,381000
1.5Fin,2398,144000
1Story,2856,260000
1Story,2978,185750
1Story,1870,137000
SLvl,2376,177000
1.5Fin,1911,139000
2Story,2848,137000
2Story,2118,162000
SLvl,3404,197900
2Story,3159,237000
1.5Fin,1826,68400
1Story,3146,227000
1Story,2648,180000
1Story,2080,150500
2Story,2736,139000
1.5Fin,3251,169000
1.5Fin,2192,132500
1Story,2656,143000
1Story,3206,190000
1Story,3160,278000
2Story,3055,281000
SLvl,2304,180500
2Story,1932,119500
2Story,3366,107500
2Story,2496,162900
1Story,1728,115000
1Story,2104,138500
1Story,2248,155000
SFoyer,1619,140000
2Story,11752,160000
1Story,2492,154000
2Story,2961,225000
2Story,2265,177500
2Story,3691,290000
1Story,3232,232000
2Story,2684,130000
1Story,3304,325000
1Story,2736,202500
1Story,1980,138000
1Story,2046,147000
1Story,2572,179200
1Story,3804,335000
1Story,2548,203000
2Story,4263,302000
2Story,3992,333168
1Story,1896,119000
2Story,3064,206900
1Story,3252,295493
1Story,2704,208900
1Story,3540,275000
1Story,1812,111000
1Story,2956,156500
1Story,720,72500
2Story,2673,190000
1Story,1128,82500
1Story,3590,147000
1Story,1592,55000
1Story,1318,79000
1Story,1632,130500
1.5Fin,4302,256000
2Story,2567,176500
1Story,3176,227000
SLvl,1865,132500
1Story,1632,100000
1.5Fin,2163,125500
